デンプン粒の種類,種類細別,縦径,横径
現生カブ,アタネ,17.35,17.43
現生カブ,アタネ,11.92,13.07
現生カブ,アタネ,20.3,19.51
現生カブ,アタネ,18.26,11.78
現生カブ,アタネ,22.49,22.76
現生カブ,アタネ,14.44,14.71
現生カブ,アタネ,15.86,13.88
現生カブ,アタネ,14.71,15.02
現生カブ,アタネ,19.04,12.5
現生カブ,アタネ,18.94,18.15
現生カブ,アタネ,3.07,3.43
現生カブ,アタネ,11.69,11.38
現生カブ,アタネ,21.09,22.48
現生カブ,アタネ,18.65,16.11
現生カブ,アタネ,15.13,15.27
現生カブ,アタネ,12.82,11.99
現生カブ,アタネ,25.92,22.31
現生カブ,アタネ,9.9,9.05
現生カブ,アタネ,27.36,16.83
現生カブ,アタネ,12.82,12.54
現生カブ,アタネ,18.95,17.56
現生カブ,カブ_早生今市蕪,55.71,40.04
現生カブ,カブ_早生今市蕪,21.09,19.79
現生カブ,カブ_早生今市蕪,16.44,19.23
現生カブ,カブ_玉波,5.57,2.23
現生カブ,カブ_玉波,12.93,18.87
現生カブ,カブ_白鷹,19.76,27.96
現生カブ,カブ_白鷹,25.65,23.16
現生カブ,カブ_白鷹,28.28,24.81
現生カブ,カブ_白鷹,32.17,34.56
現生カブ,カブ主根,12.03,12.97
現生カブ,カブ主根,10.8,8.92
現生カブ,カブ主根,7.31,6.34
現生カブ,カブ主根,13.83,13
現生ダイコン,ダイコン葉,6.83,6.67
現生ダイコン,ダイコン葉,25.75,21.08
現生ダイコン,ダイコン主根,8.55,5.53
現生ダイコン,ダイコン主根,7.78,8.27
現生ダイコン,ダイコン主根,6.94,6.24
現生ダイコン,ダイコン主根,4.62,4.3
現生ダイコン,ダイコン主根,3.75,4.31
現生ダイコン,ダイコン主根,5.69,6.63
現生ダイコン,ダイコン主根,6.15,5.86
現生ダイコン,ダイコン主根,7.41,7.26
現生ダイコン,ダイコン主根,6.35,7
現生ダイコン,ダイコン主根,24.9,21.09
現生ダイコン,ダイコン主根,6.07,5.88
現生ダイコン,ダイコン主根,4.63,5.08
現生ダイコン,ダイコン主根,6.98,5.65
現生ダイコン,ダイコン主根,4.21,4.21
現生ダイコン,ダイコン主根,3.55,3.77
現生ダイコン,ダイコン主根,4.81,2.77
現生ダイコン,ダイコン主根,4.85,4.22
現生ダイコン,ダイコン主根,5.09,5.2
現生ダイコン,ダイコン主根,6.08,4.45
現生ダイコン,ダイコン主根,4.54,4.76
a（火山灰層）,a（火山灰層）,13.2,23.29
b（痕跡底部）,b（痕跡底部）,15.46,15.56
b（痕跡底部）,b（痕跡底部）,49.48,38.93
b（痕跡底部）,b（痕跡底部）,31.2,29.31
e（痕跡中央部）,e（痕跡中央部）,22.59,24
